               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062953,            0.022256,                   0,             0.75922,               0.908,             0.86067,              0.4618,            0.015227,           0.0064318,                   0,             0.00332,             0.00332,             0.07012
                   1,            0.035128,            0.013987,                   0,             0.99989,                   1,               0.995,             0.72846,           0.0081818,           0.0042774,                   0,           0.0065875,           0.0065875,            0.040054
                   2,            0.029352,            0.011751,                   0,             0.99985,                   1,               0.995,             0.83198,           0.0091218,           0.0056173,                   0,           0.0097889,           0.0097889,           0.0099223
                   3,            0.025045,            0.010522,                   0,             0.99881,                   1,             0.99496,             0.83453,           0.0056243,           0.0039372,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.020318,           0.0093261,                   0,              0.9999,                   1,               0.995,              0.9037,           0.0032057,            0.003728,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.017962,           0.0086238,                   0,               0.999,             0.99939,               0.995,             0.89722,           0.0033408,           0.0038788,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.017367,           0.0082311,                   0,             0.99762,                   1,             0.99477,              0.9054,           0.0050156,           0.0040193,                   0,            0.009505,            0.009505,            0.009505
                   7,             0.01582,           0.0077015,                   0,             0.99165,                   1,               0.995,             0.92526,           0.0041946,           0.0043421,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.014689,           0.0076534,                   0,             0.99941,                   1,               0.995,             0.93291,           0.0029078,           0.0039048,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.014502,           0.0072226,                   0,             0.99991,                   1,               0.995,             0.97109,            0.002335,           0.0036556,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.013618,           0.0070092,                   0,             0.99983,                   1,               0.995,             0.97794,           0.0020992,           0.0040449,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.012923,           0.0069902,                   0,             0.99992,                   1,               0.995,             0.96835,           0.0018441,           0.0037539,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.012562,           0.0067938,                   0,             0.99898,                   1,               0.995,              0.9445,           0.0025817,           0.0041789,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.012045,           0.0065731,                   0,             0.99969,                   1,               0.995,             0.96728,           0.0022276,           0.0043015,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.011943,           0.0064935,                   0,             0.99993,                   1,               0.995,             0.97888,           0.0017772,           0.0032623,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.011356,           0.0062666,                   0,             0.99994,                   1,               0.995,             0.98117,           0.0017544,            0.003784,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.011115,            0.006122,                   0,             0.99991,                   1,               0.995,             0.98037,           0.0018636,           0.0034897,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.010529,           0.0061603,                   0,             0.99992,                   1,               0.995,             0.98903,           0.0015633,           0.0033521,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.01072,           0.0060008,                   0,             0.99993,                   1,               0.995,             0.98699,            0.001437,           0.0033076,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.010409,           0.0057808,                   0,             0.99953,                   1,               0.995,              0.9902,           0.0016819,           0.0035504,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.009962,           0.0058161,                   0,             0.99993,                   1,               0.995,             0.99052,           0.0021765,           0.0037908,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.010139,           0.0057165,                   0,             0.99993,                   1,               0.995,             0.98917,           0.0016032,           0.0035391,                   0,             0.00802,             0.00802,             0.00802
                  22,           0.0094945,           0.0056496,                   0,             0.99993,                   1,               0.995,             0.98746,           0.0014797,           0.0039837,                   0,            0.007921,            0.007921,            0.007921
                  23,           0.0095947,            0.005611,                   0,             0.99993,                   1,               0.995,             0.99071,           0.0015679,           0.0038249,                   0,            0.007822,            0.007822,            0.007822
                  24,           0.0093039,           0.0054716,                   0,             0.99994,                   1,               0.995,             0.98773,           0.0013335,           0.0034143,                   0,            0.007723,            0.007723,            0.007723
                  25,           0.0090327,           0.0054224,                   0,             0.99993,                   1,               0.995,             0.99057,           0.0013846,           0.0032353,                   0,            0.007624,            0.007624,            0.007624
                  26,           0.0089454,           0.0053811,                   0,             0.99993,                   1,               0.995,             0.99195,           0.0012503,           0.0039071,                   0,            0.007525,            0.007525,            0.007525
                  27,           0.0087754,           0.0053155,                   0,             0.99994,                   1,               0.995,             0.98863,           0.0012386,           0.0036593,                   0,            0.007426,            0.007426,            0.007426
                  28,           0.0088938,            0.005277,                   0,             0.99994,                   1,               0.995,             0.99175,           0.0013994,           0.0038402,                   0,            0.007327,            0.007327,            0.007327
                  29,           0.0087896,           0.0051586,                   0,             0.99993,                   1,               0.995,             0.99306,           0.0011278,           0.0037763,                   0,            0.007228,            0.007228,            0.007228
                  30,           0.0085231,           0.0049523,                   0,             0.99994,                   1,               0.995,             0.99354,           0.0010083,           0.0035629,                   0,            0.007129,            0.007129,            0.007129
                  31,           0.0082713,           0.0050688,                   0,             0.99993,                   1,               0.995,             0.99264,           0.0011693,           0.0040207,                   0,             0.00703,             0.00703,             0.00703
